experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,phys,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Xeon Max",none,473,297,479,303,145137,145137,10,0,11,2,3,9.9858370694E+01,1.0007300377E+02,688.028350,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Xeon Max",none,473,297,479,303,145137,145137,25,0,3,2,3,1.1569422881E+03,1.1576463381E+03,7971.380751,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Xeon Max",none,473,297,479,303,145137,145137,30,0,3,2,3,1.5504639943E+03,1.5508756638E+03,10682.761765,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Xeon Max",none,473,297,479,303,145137,145137,50,0,3,2,3,3.3804267248E+03,3.3815886974E+03,23291.281512,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Xeon Max",none,473,297,479,303,145137,145137,75,0,3,2,3,5.7487036387E+03,5.7498000463E+03,39608.808496,145137,2936000,5.1066355936E+05,0.0000000000E+00,1.6167913874E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Xeon Max",none,473,297,479,303,145137,145137,100,0,3,2,3,8.0943763256E+03,8.0984892845E+03,55770.591411,145137,2935887,5.1127272001E+05,0.0000000000E+00,1.6168895263E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,104,close,"Xeon Max",none,473,297,479,303,145137,145137,10,0,100,2,3,7.5785899162E+00,7.5856804848E+00,52.216801,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,104,close,"Xeon Max",none,473,297,479,303,145137,145137,25,0,40,2,3,2.5082051754E+01,2.5086128712E+01,172.816386,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,104,close,"Xeon Max",none,473,297,479,303,145137,145137,30,0,32,2,3,3.1478032470E+01,3.1478375196E+01,216.884960,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,104,close,"Xeon Max",none,473,297,479,303,145137,145137,50,0,17,2,3,6.0570464415E+01,6.0571404064E+01,417.333033,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,4581bbd,x4600c0s4b0n0,20260804_114420
