experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,phys,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,1,close,"EPYC 7A53",none,473,297,479,303,145137,145137,10,0,9,2,3,1.1622677900E+02,1.1640116021E+02,800.807368,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,1,close,"EPYC 7A53",none,473,297,479,303,145137,145137,25,0,3,2,3,1.1040723637E+03,1.1058416767E+03,7607.104761,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,1,close,"EPYC 7A53",none,473,297,479,303,145137,145137,30,0,3,2,3,1.4763869817E+03,1.4770018813E+03,10172.368050,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,1,close,"EPYC 7A53",none,473,297,479,303,145137,145137,50,0,3,2,3,3.1026421663E+03,3.1044447407E+03,21377.334286,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,1,close,"EPYC 7A53",none,473,297,479,303,145137,145137,75,0,3,2,3,5.1800919770E+03,5.1878127763E+03,35691.050366,145137,2936000,5.1066355936E+05,0.0000000000E+00,1.6167913874E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,1,close,"EPYC 7A53",none,473,297,479,303,145137,145137,100,0,3,2,3,7.3722472290E+03,7.3836167403E+03,50795.091734,145137,2935887,5.1127272001E+05,0.0000000000E+00,1.6168895263E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,56,close,"EPYC 7A53",none,473,297,479,303,145137,145137,10,0,100,2,3,9.3185540393E+00,9.3360306101E+00,64.205227,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,56,close,"EPYC 7A53",none,473,297,479,303,145137,145137,25,0,34,2,3,2.9855608618E+01,2.9987707787E+01,205.706392,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,56,close,"EPYC 7A53",none,473,297,479,303,145137,145137,30,0,27,2,3,3.7456394591E+01,3.7548336446E+01,258.076125,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -fopenmp -fdo-concurrent-to-openmp=host",prod,full,faithful,128,0,128,0,56,close,"EPYC 7A53",none,473,297,479,303,145137,145137,50,0,14,2,3,7.1729078066E+01,7.1789622198E+01,494.216348,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,4581bbd,frontier00275,20260804_074025
