experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,phys,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,31,0,31,0,1,close,GH200,cc90,32,32,38,38,1444,1444,30,0,100,2,3,1.4954490000E+00,1.4958310000E+00,1035.629501,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,254,17008,OK,4581bbd,gh1,20260804_065906
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,31,0,31,0,1,close,GH200,cc90,64,64,70,70,4900,4900,30,0,100,2,3,1.5497810000E+00,1.5500090000E+00,316.281837,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,254,17008,OK,4581bbd,gh1,20260804_070403
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,31,0,31,0,1,close,GH200,cc90,128,128,134,134,17956,17956,30,0,100,2,3,2.3497000000E+00,2.3499510000E+00,130.858766,17956,354567,4.0977598153E+04,0.0000000000E+00,1.6312430374E+00,254,17008,OK,4581bbd,gh1,20260804_070532
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,31,0,31,0,1,close,GH200,cc90,256,256,262,262,68644,68644,30,0,100,2,3,6.7869500000E+00,6.7912890000E+00,98.871715,68644,1355819,1.5615137393E+05,0.0000000000E+00,1.6479482580E+00,254,17008,OK,4581bbd,gh1,20260804_070700
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,76,0,76,0,1,close,GH200,cc90,256,256,262,262,68644,68644,75,0,39,2,3,2.6179356410E+01,2.6180200000E+01,381.378655,68644,1389243,2.4154173553E+05,0.0000000000E+00,1.6179048033E+00,254,40048,OK,4581bbd,gh1,20260804_070925
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,76,0,76,0,1,close,GH200,cc90,473,297,479,303,145137,145137,75,0,20,2,3,5.0655605000E+01,5.0657845000E+01,349.019237,145137,2936000,5.1066355936E+05,0.0000000000E+00,1.6167913874E+00,254,40048,OK,4581bbd,gh1,20260804_071428
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,76,0,76,0,1,close,GH200,cc90,512,512,518,518,268324,268324,75,0,12,2,3,8.7395750000E+01,8.7399758333E+01,325.709776,268324,5429346,9.4366337969E+05,0.0000000000E+00,1.6187331059E+00,254,40048,OK,4581bbd,gh1,20260804_071600
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,76,0,76,0,1,close,GH200,cc90,1024,512,1030,518,533540,533540,75,0,6,2,3,1.6869298333E+02,1.6871786667E+02,316.176825,533540,10792625,1.8767585173E+06,0.0000000000E+00,1.6190905651E+00,254,40048,OK,4581bbd,gh1,20260804_071734
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,76,0,76,0,1,close,GH200,cc90,1024,1024,1030,1030,1060900,1060900,75,0,3,2,3,3.3384800000E+02,3.3393503333E+02,314.683759,1060900,21465420,3.7306650941E+06,0.0000000000E+00,1.6190999189E+00,254,40048,OK,4581bbd,gh1,20260804_071910
nz,dc_gpu,dc,solo,faithful,1,nvfortran,nvfortran 26.3-0 linuxarm64 target on aarch64 Linux -tp neoverse-v2 ,"-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 -DKS_NO_NEWTON -stdpar=gpu -acc=gpu -gpu=cc90,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,full,faithful,76,0,76,0,1,close,GH200,cc90,2048,1024,2054,1030,2115620,2115620,75,0,3,2,3,6.4891363333E+02,6.4893000000E+02,306.725042,2115620,42800351,7.4403986076E+06,0.0000000000E+00,1.6192632273E+00,254,40048,OK,4581bbd,gh1,20260804_072050
