experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,phys,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,10,0,6,2,3,1.9664319356E+02,2.2786251704E+02,1354.879828,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,25,0,3,2,3,1.6461136341E+03,1.6546553771E+03,11341.791784,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,30,0,3,2,3,2.2021849950E+03,2.2074940205E+03,15173.146717,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,50,0,3,2,3,4.6172040304E+03,4.6295193036E+03,31812.728873,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,75,0,3,2,3,7.7029763858E+03,7.7299102942E+03,53073.829456,145137,2936000,5.1066355936E+05,0.0000000000E+00,1.6167913874E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,100,0,3,2,3,1.0751597007E+04,1.0788641373E+04,74078.953037,145137,2935887,5.1127272001E+05,0.0000000000E+00,1.6168895263E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,10,0,41,2,3,2.4594998941E+01,2.4931027339E+01,169.460571,145197,299883,1.7667795128E+04,0.0000000000E+00,2.1728299233E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,25,0,13,2,3,7.3252149991E+01,7.9677233329E+01,504.710377,145137,2778428,2.4191559953E+05,0.0000000000E+00,1.6641704327E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,30,0,8,2,3,1.2274728503E+02,1.3556098938E+02,845.733927,145137,2866522,3.2998816625E+05,0.0000000000E+00,1.6473860971E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,50,0,3,2,3,2.7745097876E+02,2.7841645479E+02,1911.648847,145137,2935578,4.9695304208E+05,0.0000000000E+00,1.6157044966E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,75,0,3,2,3,4.6540268262E+02,4.6574799220E+02,3206.643948,145137,2936000,5.1066355936E+05,0.0000000000E+00,1.6167913874E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
nz,dc_multicore,dc,solo,faithful,1,ifx,"ifx (IFX) 2026.0.0 20260331","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_NO_NEWTON -qopenmp",prod,full,faithful,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",none,473,297,479,303,145137,145137,100,0,3,2,3,6.0005005201E+02,6.5822505951E+02,4134.369954,145137,2935887,5.1127272001E+05,0.0000000000E+00,1.6168895263E+00,0,0,OK,4eef5e2,Big-Chungus,20260804_065636
