experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,10,0,100,2,3,3.6403894424E+00,3.6412119865E+00,742.936621,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,25,0,28,2,3,3.6894857883E+01,3.6904139178E+01,7529.562833,4900,93699,8.2706422989E+03,0.0000000000E+00,1.6306509442E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,30,0,21,2,3,4.9867527825E+01,4.9878143129E+01,10177.046495,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,50,0,10,2,3,1.0984148979E+02,1.0986490250E+02,22416.630569,4900,99272,1.6897225677E+04,0.0000000000E+00,1.6075703238E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,75,0,6,2,3,1.8706635634E+02,1.8710350990E+02,38176.807416,4900,99341,1.7354910659E+04,0.0000000000E+00,1.6100282099E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,100,0,4,2,3,2.6414769888E+02,2.6421546936E+02,53907.693649,4900,99315,1.7375307995E+04,0.0000000000E+00,1.6097062980E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 ",fit,prod,11,0,11,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,10,0,100,2,3,3.4951114655E+00,3.5002589226E+00,713.288054,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=26 -DKS_VLEN=1 ",fit,prod,26,0,26,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,25,0,28,2,3,3.6784751075E+01,3.6795863083E+01,7507.092056,4900,93699,8.2706422989E+03,0.0000000000E+00,1.6306509442E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 ",fit,prod,31,0,31,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,30,0,21,2,3,4.9903619857E+01,4.9916710172E+01,10184.412216,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
nz,dc_serial,dc,solo,faithful,1,ifx,"ifx (IFX) 2025.3.2 20260112","-O3 -I../common -DMODEL_NZ_STACK_MAX=51 -DKS_VLEN=1 ",fit,prod,51,0,51,0,1,close,"Xeon Max",cc90,64,64,70,70,4900,4900,50,0,10,2,3,1.0957670212E+02,1.0974049568E+02,22362.592269,4900,99272,1.6897225677E+04,0.0000000000E+00,1.6075703238E+00,0,0,OK,5510df7,x4310c1s0b0n0,20260804_035950
