experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",prod,prod,128,0,128,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,10,0,100,2,3,3.9178204676E+00,3.9182852721E+00,799.555197,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",prod,prod,128,0,128,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,25,0,27,2,3,3.7565802776E+01,3.7566018774E+01,7666.490362,4900,93699,8.2706422989E+03,0.0000000000E+00,1.6306509442E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",prod,prod,128,0,128,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,30,0,20,2,3,5.0245222193E+01,5.0274307095E+01,10254.126978,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",prod,prod,128,0,128,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,50,0,10,2,3,1.0559810726E+02,1.0565869971E+02,21550.634135,4900,99272,1.6897225677E+04,0.0000000000E+00,1.6075703238E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",prod,prod,128,0,128,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,75,0,6,2,3,1.7636778935E+02,1.7660513629E+02,35993.426398,4900,99341,1.7354910659E+04,0.0000000000E+00,1.6100282099E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",prod,prod,128,0,128,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,100,0,5,2,3,2.4717212459E+02,2.4744089553E+02,50443.290733,4900,99315,1.7375307995E+04,0.0000000000E+00,1.6097062980E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",fit,prod,11,0,11,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,10,0,100,2,3,3.8288809545E+00,3.8315417105E+00,781.404276,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=26 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",fit,prod,26,0,26,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,25,0,28,2,3,3.7079332114E+01,3.7088591623E+01,7567.210636,4900,93699,8.2706422989E+03,0.0000000000E+00,1.6306509442E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",fit,prod,31,0,31,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,30,0,20,2,3,5.0007173698E+01,5.0026085605E+01,10205.545653,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
nz,dc_multicore,dc,solo,faithful,1,amdflang,"AMD flang version 23.0.0git (https://github.com/ROCm/llvm-project.git 43215c73116c407735c85a180d174f718798c328+PATCHED:2506c552d8428e2cc1778bef048b20f818e06bb3)","-O3 -I../common -DMODEL_NZ_STACK_MAX=51 -DKS_VLEN=1 -fopenmp -fdo-concurrent-to-openmp=host",fit,prod,51,0,51,0,1,close,"EPYC 7A53",cc90,64,64,70,70,4900,4900,50,0,10,2,3,1.0529528707E+02,1.0534651540E+02,21488.834096,4900,99272,1.6897225677E+04,0.0000000000E+00,1.6075703238E+00,0,0,OK,5f1887e,frontier08056,20260804_000613
