experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,gpu_arch,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,10,0,100,2,3,2.1079587936E+00,2.1581888199E+00,430.195672,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,25,0,47,2,3,2.1490020955E+01,2.1598957955E+01,4385.718562,4900,93699,8.2706422989E+03,0.0000000000E+00,1.6306509442E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,30,0,35,2,3,2.9279533555E+01,2.9284824644E+01,5975.415011,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,50,0,17,2,3,6.1387188294E+01,6.1907880446E+01,12527.997611,4900,99272,1.6897225677E+04,0.0000000000E+00,1.6075703238E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,75,0,10,2,3,1.0637779236E+02,1.0683889389E+02,21709.753543,4900,99341,1.7354910659E+04,0.0000000000E+00,1.6100282099E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,100,0,7,2,3,1.5004100118E+02,1.5023926326E+02,30620.612486,4900,99315,1.7375307995E+04,0.0000000000E+00,1.6097062980E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 ",fit,prod,11,0,11,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,10,0,100,2,3,2.1368694305E+00,2.1574211121E+00,436.095802,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=26 -DKS_VLEN=1 ",fit,prod,26,0,26,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,25,0,45,2,3,2.1891085998E+01,2.2002130085E+01,4467.568571,4900,93699,8.2706422989E+03,0.0000000000E+00,1.6306509442E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 ",fit,prod,31,0,31,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,30,0,34,2,3,2.9593855994E+01,2.9770206003E+01,6039.562448,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=51 -DKS_VLEN=1 ",fit,prod,51,0,51,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,50,0,16,2,3,6.2172595192E+01,6.2221884727E+01,12688.284733,4900,99272,1.6897225677E+04,0.0000000000E+00,1.6075703238E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=76 -DKS_VLEN=1 ",fit,prod,76,0,76,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,75,0,10,2,3,1.0775861740E+02,1.0785791874E+02,21991.554571,4900,99341,1.7354910659E+04,0.0000000000E+00,1.6100282099E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
nz,dc_serial,dc,solo,faithful,1,gfortran,"GNU Fortran (Homebrew GCC 15.2.0_1) 15.2.0","-O3 -I../common -DMODEL_NZ_STACK_MAX=101 -DKS_VLEN=1 ",fit,prod,101,0,101,0,1,close,"Mac",cc90,64,64,70,70,4900,4900,100,0,7,2,3,1.5173840523E+02,1.5184228761E+02,30967.021476,4900,99315,1.7375307995E+04,0.0000000000E+00,1.6097062980E+00,0,0,OK,d65ed5a,Jorges-MacBook-Air.local,20260804_151701
