experiment,mode,variant,lanes,cuvariant,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,100,2,1,2.0525500000E+00,2.0525500000E+00,1421.433518,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,13,2,1,2.3665384615E+01,2.3665384615E+01,16388.770509,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,11,0,11,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,100,2,1,2.0024200000E+00,2.0024200000E+00,1386.717452,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,serial_do,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,31,0,31,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,13,2,1,2.3293238462E+01,2.3293238462E+01,16131.051566,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,100,2,1,2.0624520000E+00,2.0624520000E+00,1428.290859,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 ",prod,prod,128,0,128,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,13,2,1,2.3669823077E+01,2.3669823077E+01,16391.844236,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 ",fit,prod,11,0,11,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,100,2,1,1.9892910000E+00,1.9892910000E+00,1377.625346,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_serial,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 ",fit,prod,31,0,31,0,1,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,14,2,1,2.3030792857E+01,2.3030792857E+01,15949.302533,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_multicore,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=multicore",prod,prod,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,100,2,1,1.9268890000E+00,1.9268890000E+00,1334.410665,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_multicore,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=multicore",prod,prod,128,0,128,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,40,2,1,5.2484500000E+00,5.2484500000E+00,3634.660665,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_multicore,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=11 -DKS_VLEN=1 -stdpar=multicore",fit,prod,11,0,11,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,10,0,76,2,1,2.0722776316E+00,2.0722776316E+00,1435.095313,1445,4160,2.2026715013E+02,0.0000000000E+00,2.0524172292E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_multicore,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -stdpar=multicore",fit,prod,31,0,31,0,40,close,"Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz",32,32,38,38,1444,1444,30,0,76,2,1,3.4186592105E+00,3.4186592105E+00,2367.492528,1444,28493,3.4001410348E+03,0.0000000000E+00,1.6094409216E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_gpu_acc,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",64,64,70,70,4900,4900,10,0,100,2,1,1.2628010000E+00,1.2628010000E+00,257.714490,4902,11606,6.8205675711E+02,0.0000000000E+00,2.1513709635E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
nz,dc_gpu_acc,faithful,1,na,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",64,64,70,70,4900,4900,30,0,87,2,1,3.4459436782E+00,3.4459436782E+00,703.253812,4900,96753,1.1269504893E+04,0.0000000000E+00,1.6245516804E+00,,,OK,ad2cde0,Big-Chungus,20260803_054401
