experiment,mode,impl,launcher,variant,lanes,compiler,compiler_ver,flags,stack_policy,copy_policy,nzstack,bcopy,opt_nzmax,minblocks,threads,proc_bind,device,nxp,nyp,nx,ny,ncols,nwet,nz,land_pct,reps,warm,nrun,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,kd_min,kd_max,regs,local_b,status,git_hash,host,timestamp
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,15,0,100,2,2,1.9789810000E+00,2.02325,190.213476,10407,110558,5.8487484802E+03,0.0000000000E+00,1.6305766897E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_064309
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,30,0,66,2,2,4.5984984848E+00,4.59907,441.993318,10404,205409,2.3799892298E+04,0.0000000000E+00,1.6288699915E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_064309
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=16 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,16,0,16,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,15,0,100,2,2,1.8440200000E+00,1.93167,177.241446,10407,110558,5.8487484802E+03,0.0000000000E+00,1.6305766897E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_064309
nz,dc_gpu_acc,dc,solo,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=31 -DKS_VLEN=1 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",fit,prod,31,0,31,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,30,0,66,2,2,4.5894530303E+00,4.63416,441.123898,10404,205409,2.3799892298E+04,0.0000000000E+00,1.6288699915E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_064309
nz,dc_gpu_acc,dc,cmp,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_WITH_CUDA -DKS_OPT_NZMAX=128 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,15,0,100,2,2,1.9692800000E+00,2.05459,189.281046,10407,110558,5.8487484802E+03,0.0000000000E+00,1.6305766897E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_064309
nz,cuda_faithful,cuda_faithful,cmp,cuda,1,nvfortran,"Build cuda_12.9.r12.9/compiler.36037853_0","-O3 -arch=sm_70 -I../common --compiler-options -fPIC -DMODEL_NZ_STACK_MAX=128 -DKS_OPT_NZMAX=128 -DKS_MINBLOCKS=0 -DIDX32=1 -DKS_FULL_COPY",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,15,0,100,2,2,1.7040510000E+00,1.72274,163.788062,10407,110558,5.8487484802E+03,0.0000000000E+00,1.6305766897E+00,80,66528,OK,ad2cde0,Big-Chungus,20260803_064309
nz,cuda_opt,cuda_opt,cmp,cuda,1,nvfortran,"Build cuda_12.9.r12.9/compiler.36037853_0","-O3 -arch=sm_70 -I../common --compiler-options -fPIC -DMODEL_NZ_STACK_MAX=128 -DKS_OPT_NZMAX=128 -DKS_MINBLOCKS=0 -DIDX32=1 -DKS_FULL_COPY",prod,opt,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,15,0,100,2,2,1.6006710000E+00,1.60223,153.851499,10407,110558,5.8487484802E+03,0.0000000000E+00,1.6305766897E+00,80,66496,OK,ad2cde0,Big-Chungus,20260803_064309
nz,dc_gpu_acc,dc,cmp,faithful,1,nvfortran,"","-Mfree -Mbackslash -O3 -fast -I../common -DMODEL_NZ_STACK_MAX=128 -DKS_VLEN=1 -DKS_WITH_CUDA -DKS_OPT_NZMAX=128 -stdpar=gpu -acc=gpu -gpu=cc70,mem:separate -gpu=tripcount:host -DDC_DATA_ACC",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,30,0,65,2,2,4.5958769231E+00,4.59721,441.741342,10404,205409,2.3799892298E+04,0.0000000000E+00,1.6288699915E+00,0,0,OK,ad2cde0,Big-Chungus,20260803_064309
nz,cuda_faithful,cuda_faithful,cmp,cuda,1,nvfortran,"Build cuda_12.9.r12.9/compiler.36037853_0","-O3 -arch=sm_70 -I../common --compiler-options -fPIC -DMODEL_NZ_STACK_MAX=128 -DKS_OPT_NZMAX=128 -DKS_MINBLOCKS=0 -DIDX32=1 -DKS_FULL_COPY",prod,prod,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,30,0,73,2,2,4.1050260274E+00,4.10601,394.562286,10404,205409,2.3799892298E+04,0.0000000000E+00,1.6288699915E+00,80,66528,OK,ad2cde0,Big-Chungus,20260803_064309
nz,cuda_opt,cuda_opt,cmp,cuda,1,nvfortran,"Build cuda_12.9.r12.9/compiler.36037853_0","-O3 -arch=sm_70 -I../common --compiler-options -fPIC -DMODEL_NZ_STACK_MAX=128 -DKS_OPT_NZMAX=128 -DKS_MINBLOCKS=0 -DIDX32=1 -DKS_FULL_COPY",prod,opt,128,0,128,0,1,close,"Tesla V100-DGXS-32GB",96,96,102,102,10404,10404,30,0,74,2,2,4.0442594595E+00,4.04672,388.721594,10404,205409,2.3799892298E+04,0.0000000000E+00,1.6288699915E+00,80,66496,OK,ad2cde0,Big-Chungus,20260803_064309
