device,mode,impl,launcher,variant,lanes,stack_policy,copy_policy,phys,nzstack,bcopy,threads,nz,nxp,nyp,land_pct,toolchain,gpu_arch,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,regs,local_b,reps,nrun,host,git_hash,_file
Broadwell,dc_multicore,,,faithful,1,fit,prod,faithful,11,0,40,10,32,32,0,nvfortran,,3.2046996337E-01,3.2046996337E-01,221.932108,1445,4160,2.2026715013E+02,,,1092,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_053235.csv
Broadwell,dc_multicore,,,faithful,1,fit,prod,faithful,31,0,40,30,32,32,0,nvfortran,,1.2217263699E+00,1.2217263699E+00,846.070893,1444,28493,3.4001410348E+03,,,292,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_053235.csv
Broadwell,dc_multicore,,,faithful,1,prod,prod,faithful,128,0,40,10,32,32,0,nvfortran,,1.8268081818E+00,1.8268081818E+00,1265.102619,1445,4160,2.2026715013E+02,,,110,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_053235.csv
Broadwell,dc_multicore,,,faithful,1,prod,prod,faithful,128,0,40,30,32,32,0,nvfortran,,1.5442430894E+00,1.5442430894E+00,1069.420422,1444,28493,3.4001410348E+03,,,123,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_053235.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,opt,faithful,31,1,40,30,64,64,0,nvfortran,cc70,3.6216000000E+00,3.6217000000E+00,739.102041,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_162539.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,opt,faithful,76,1,40,75,64,64,0,nvfortran,cc70,1.0445955000E+01,1.1025155000E+01,2131.827551,4900,99341,1.7354910659E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_162539.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,101,0,40,100,64,64,0,flang 22.1.5,cc70,1.3432757708E+01,1.3657757046E+01,2741.379124,4900,99315,1.7375307995E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,101,0,40,100,64,64,0,ifx 2026.0.0,cc70,1.2095067236E+01,1.2113595009E+01,2468.381069,4900,99315,1.7375307995E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,11,0,40,10,64,64,0,flang 22.1.5,cc70,9.0300424490E-01,9.0420525521E-01,184.286581,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,11,0,40,10,64,64,0,ifx 2026.0.0,cc70,7.7575445175E-01,7.7624320984E-01,158.317235,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
